"TOP 15","Song Name","Streams","Artist","Artist Followers","Genre","Release Date","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Duration (ms)","Valence","Chord"
0,"Lights Up","4,325,411","Harry Styles",16127908,"['pop', 'post-teen pop']","2019-12-13",75,0.575,0.621,-8.165,0.032,0.0392,0.141,101.987,172213,0.27,"A#/Bb"
1,"Lose You To Love Me","4,322,088","Selena Gomez",28931149,"['dance pop', 'pop', 'post-teen pop']","2020-01-10",81,0.488,0.343,-8.985,0.0436,0.556,0.21,102.819,206459,0.0978,"E"
0,"Girls Like You (feat. Cardi B)","4,318,772","Maroon 5",32279979,"['pop', 'pop rock']","2018-06-15",66,0.851,0.541,-6.825,0.0505,0.568,0.13,124.959,235545,0.448,"C"
0,"PA' ROMPERLA","4,312,675","Bad Bunny, Don Omar",36177712,"['latin', 'reggaeton', 'trap latino']","2020-05-10",72,0.772,0.83,-5.019,0.0599,0.016,0.0843,94.011,194200,0.697,"G"
0,"VACATION","6,883,487","Tyga",6298789,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","2020-06-19",51,0.821,0.61,-6.22,0.0959,0.0247,0.185,110.973,192936,0.47,"C#/Db"
0,"Big Body Benz","6,707,101","Bonez MC",1683006,"['german hip hop', 'hamburg hip hop']","2020-06-18",61,0.884,0.451,-8.969,0.393,0.0731,0.268,94.024,148284,0.311,"A"
0,"Ich weiß nicht mal wie sie heißt","5,827,600","Capital Bra, Bozza",4093115,"['german hip hop']","2020-06-18",57,0.498,0.836,-3.905,0.184,0.525,0.0994,199.846,168750,0.609,"A#/Bb"
0,"Fútbol & Rumba (feat. Enrique Iglesias)","5,124,116","Anuel AA",18306226,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']","2020-05-29",67,0.735,0.916,-2.082,0.117,0.397,0.0918,167.994,221429,0.691,"D"
0,"Bleed","5,095,478","A Boogie Wit da Hoodie",5865895,"['melodic rap', 'pop rap', 'rap', 'trap']","2020-06-19",61,0.698,0.572,-7.735,0.198,0.135,0.154,71.446,176959,0.391,"D"
0,"Snow On Tha Bluff","5,060,764","J. Cole",14103694,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']","2020-06-16",66,0.586,0.512,-8.819,0.0668,0.723,0.119,75.857,235480,0.235,"G#/Ab"
0,"Djomb - Bien ou quoi","4,924,714","Bosh",300500,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']","2020-05-29",64,0.945,0.676,-6.6,0.207,0.172,0.322,123.109,141893,0.631,"C#/Db"
0,"In Your Eyes (feat. Alida)","4,654,587","Alida, Robin Schulz",2786366,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']","2020-01-10",71,0.57,0.672,-5.888,0.0716,0.172,0.0768,120.018,208222,0.461,"G#/Ab"
1,"Stupid Love","4,609,858","Lady Gaga",1251372,"[]","2021-08-08",0,0.68,0.825,-4.296,0.0702,0.00173,0.27,117.987,193533,0.784,"G#/Ab"
0,"Shotta Flow 5","4,513,982","NLE Choppa",3372385,"['memphis hip hop']","2020-06-12",62,0.806,0.749,-5.268,0.328,0.0838,0.0621,140.032,145167,0.77,"C#/Db"
0,"IDK You Yet","4,473,413","Alexander 23",207170,"['alt z', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']","2020-06-23",79,0.648,0.308,-11.729,0.04,0.886,0.124,76.997,184638,0.198,"C#/Db"
0,"Piece Of Your Heart","4,422,905","MEDUZA, Goodboys",441714,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']","2019-02-01",79,0.677,0.744,-6.806,0.0295,0.0404,0.074,124.08,152913,0.631,"A#/Bb"
0,"Na Raba Toma Tapão","4,396,629","Niack",352402,"['funk carioca']","2020-06-06",61,0.962,0.787,1.509,0.0554,0.666,0.176,130.003,165231,0.968,"D#/Eb"
1,"La Santa","4,384,527","Bad Bunny, Daddy Yankee",36177712,"['latin', 'reggaeton', 'trap latino']","2020-02-29",79,0.744,0.868,-4.524,0.047,0.0326,0.0822,93.037,206420,0.586,"C#/Db"
0,"Make You Mine","4,356,213","PUBLIC",165504,"['indie rockism']","2019-08-09",77,0.606,0.799,-4.452,0.0261,0.0128,0.15,103.014,232907,0.638,"A"
0,"ROCKSTAR (feat. Roddy Ricch) - BLM REMIX","7,353,153","DaBaby",7601122,"['north carolina hip hop', 'rap']","2020-06-12",62,0.747,0.689,-7.246,0.242,0.197,0.0884,89.901,204547,0.75,"B"
0,"Make It Rain","6,042,929","Pop Smoke, Rowdy Rebel",6852509,"['brooklyn drill']","2020-06-12",64,0.54,0.77,-3.981,0.389,0.194,0.372,159.494,204000,0.565,"C#/Db"
0,"M' Manc (con Geolier & Sfera Ebbasta)","5,171,235","Shablo",40045,"['italian hip hop']","2020-06-11",66,0.703,0.704,-6.117,0.0641,0.048,0.41,139.933,180000,0.725,"F#/Gb"
